dialogue,label
There's nothing to tell! He's just some guy I work with!,0
"C'mon, you're going out with the guy! There's gotta be something wrong with him!",1
"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",2
"Wait, does he eat chalk?",3
"Just, 'cause, I don't want her to go through what I went through with Carl- oh!",3
"Okay, everybody relax. This is not even a date. It's just two people going out to dinner and- not having sex.",0
Sounds like a date to me.,2
"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",2
"Then I look down, and I realize there's a phone... there.",2
Instead of...?,1
That's right.,2
Never had that dream.,1
No.,3
"All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.",2
And they weren't looking at you before?!,0
"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",2
Hi.,4
"This guy says hello, I wanna kill myself.",1
"Are you okay, sweetie?",0
"I just feel like someone reached down my throat, grabbed my small intestine, pulled it out of my mouth and tied it around my neck...",4
Cookie?,2
Carol moved her stuff out today.,0
Ohh.,1
Let me get you some coffee.,0
Thanks.,4
Ooh! Oh!,3
"No, no don't! Stop cleansing my aura! No, just leave my aura alone, okay?",4
Fine! Be murky!,3
"I'll be fine, alright? Really, everyone. I hope she'll be very happy.",4
No you don't.,0
"No I don't, to hell with her, she left me!",4
And you never knew she was a lesbian...,1
"No!! Okay?! Why does everyone keep fixating on that? She didn't know, how should I know?",4
Sometimes I wish I was a lesbian... Did I say that out loud?,2
"I told mom and dad last night, they seemed to take it pretty well.",4
"Oh really, so that hysterical phone call I got from a woman at sobbing 3:00 A.M., ""I'll never have grandchildren, I'll never have grandchildren."" was what? A wrong number?",0
Sorry.,4
"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",1
"Strip joint! C'mon, you're single! Have some hormones!",1
"I don't want to be single, okay? I just... I just- I just wanna be married again!",4
And I just want a million dollars!,2
Rachel?!,0
"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",5
"De-caff. Okay, everybody, this is Rachel, another Lincoln High survivor. This is everybody, this is Chandler, and Phoebe, and Joey, and- you remember my brother Ross?",0
"Hi, sure!",5
Hi.,4
"So you wanna tell us now, or are we waiting for four wet bridesmaids?",0
"Oh God... well, it started about a half hour before the wedding. I was in the room where we were keeping all the presents, and I was looking at this gravy boat. This really gorgeous Lamauge gravy boat. When all of a sudden- Sweet 'n' Lo?- I realized that I was more turned on by this gravy boat than by Barry! And then I got really freaked out, and that's when it hit me: how much Barry looks like Mr. Potato Head. Y'know, I mean, I always knew looked familiar, but... Anyway, I just had to get out of there, and I started wondering 'Why am I doing this, and who am I doing this for?'. So anyway I just didn't know where to go, and I know that you and I have kinda drifted apart, but you're the only person I knew who lived here in the city.",5
Who wasn't invited to the wedding.,0
"Ooh, I was kinda hoping that wouldn't be an issue...",5
"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it.",0
Tuna or egg salad? Decide!,2
I'll have whatever Christine is having.,4
"Daddy, I just... I can't marry him! I'm sorry. I just don't love him. Well, it matters to me!",5
"If I let go of my hair, my head will fall off.",3
"Ooh, she should not be wearing those pants.",2
I say push her down the stairs.,1
Push her down the stairs! Push her down the stairs! Push her down the stairs!,2
"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",5
You can see where he'd have trouble.,4
"Look Daddy, it's my life. Well maybe I'll just stay here with Monica.",5
"Well, I guess we've established who's staying here with Monica...",0
"Well, maybe that's my decision. Well, maybe I don't need your money. Wait!! Wait, I said maybe!!",5
"Just breathe, breathe.. that's it. Just try to think of nice calm things...",0
"Raindrops on roses and rabbits and kittens, bluebells and sleighbells and- something with mittens... La la la la...something and noodles with string. These are a few...",3
I'm all better now.,5
I helped!,3
"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",0
"And hey, you need anything, you can always come to Joey. Me and Chandler live across the hall. And he's away a lot.",1
"Joey, stop hitting on her! It's her wedding day!",0
"What, like there's a rule or something?",1
"Please don't do that again, it's a horrible sound.",2
"Oh God, is it 6:30? Buzz him in!",0
Who's Paul?,1
"Paul the Wine Guy, Paul?",4
