dialogue,label
"You guys, you guys! Chef is going away.",0
Going away? For how long?,1
Forever.,0
"Chef said he's been bored, so he joining a group called the Super Adventure Club.",0
I'm gonna miss him.  I'm gonna miss Chef and I...and I don't know how to tell him!,2
"Dude, how are we gonna go on? Chef was our fuh...f-ffriend.",0
"Draw two card, fatass.",1
"Reverse to you, Jew.",2
I'll get it.,0
He's back!,0
Yeah!,1
All right!,2
Chef! I can't believe you're back!,1
But are you back for good?,0
"Well, I- guess we'll see you in school tomorrow, Chef.",1
"Right. Uh, see ya.",0
"Uh, guys? Did Chef seem a little, uh, trippy to you?",2
"Well, look. he said he's happier now. Maybe he just needs to rest up a little.",0
Yeah. I'm sure whatever that Super Adventure Club does is pretty tiring.,1
"Yeah, but whatever, I'm just glad he's back for good.",0
"Oh boy oh boy, I can't wait to have Chef's lunch food again.",2
Yeah. I hope he makes his Salisbury steak with buttered noodles!,1
What?,0
Like what?,1
What??,0
Weirdo.,1
Good.,1
Excuse me?,2
...Chef?? A-are you okay?,1
"Dude, what are you saying??",0
...WHAT??,0
This doesn't make any sense!,1
"No, he's not.",0
NO!,0
"Goddammit, Chef isn't like that! Something funny is going on around here!",1
"Chef, the police are asking questions about you!",1
"No, Chef, we don't wanna make love to you!",0
"Chef, CHEF! You need to get out of here before you get arrested, all right?!",1
"...Man, I can't believe all this time, Chef just wanted us for sex.",2
"He didn't want us for sex, fatass! Something is making him say those things.",1
"Something must have happened to Chef while he was gone. Maybe he hit his head or, or got stuck in some quantum time vortex.",1
Well look: he spent the last three months with that adventurers' club. Maybe they know what happened to him.,0
Yeah!,2
"All right, come on guys!",1
"Hey you guys, you know what they call a Jewish woman's boobs? Jewbs.",2
"Ahh, hi, can we speak to the head guy or something?",1
"Uh, hi. Our friend joined your club a while back, and now he wants to molest kids.",1
...Huh?,2
"Well, we thought you went exploring and like, hunting and stuff!",1
...Dude!,1
NO!!,0
No!,0
"Dude, what are you doing?!",1
Just what the hell is that thing?!,1
HA! I knew it!,1
Knew what?,0
The reason Chef has been saying those terrible things about us is because he's been brainwashed! By this- fruity little club!,1
"Oh, son of a bitch!",2
"You need to see a psychiatrist, Chef. It's for your own good.",0
"All right, come on.",1
"Hi, uh- our friend has been brainwashed by some fruity little club.",1
"Yeah, he joined the Super Adventure Club, and they convinced him having sex with children was okay with a little thing that goes whrrrrrr.",0
"No, that's the Adventure Club. The Super Adventure Club has sex with children.",0
"No, Chef has always been super-cool.",2
So what can we do??,2
"But we don't have years! If Chef keeps this up, he's gonna go to jail forever!",1
Having sex with women.,0
This isn't working.,0
No thanks. We're trying to unbrainwash our friend.,1
"Come on, bitch! Dance!",2
"Bitch, I'll twist your nuts off!",2
"Come on guys, we might as well go.",0
"Chef, we're leaving.",0
He's remembering.,0
"It's okay Chef. Go on, remember!",2
"Come on, Chef! You can do it!",1
Where's Chef?! What have you done with him?!,0
"Look: If you wanna go around the world molesting kids, that's totally fine. But why do you need Chef?!",2
"Oh Jesus, here we go.",0
We don't wanna hear it.,0
Immortal.,0
...Do you realize how retarded that sounds?,1
"Yeah, it's way, way more retarded.",0
We're not leaving without Chef.,0
We're not going anywhere without Chef.,1
No! Hey!,1
"No, you don't understand! They've got our friend in the Deprivation Room!",0
"Sorry, dude, but this fruity little club isn't taking our friend!",1
"Chef, come on!",1
Kenny! Spin Blossom Nut Squash!,2
"Come on, Chef!",0
Here!,1
Run Chef!,2
Get outside!,1
We made it!,0
"Chef, come on!",0
"Yeah, he wanted adventure! Not a bunch of ridiculous bullcrap! Right Chef?  Chef?",1
"Chef, we love you.",0
"No! Chef, they've filled your head with lies! Can't you see that??",1
NO!,0
A mountain lion!,2
CHEF!,1
A grizzly bear!,2
Oh my God... They killed Chef.,0
You bastards. YOU BASTARDS!,1
"Maybe- maybe he's still okay.  No, really. They say the last thing you do before you die is crap your-",2
Oh never mind.,2
"Come on, let's go.",0
"We're all here today because Chef has been such an important part of our lives. A lot of us don't agree with the choices Chef has made in the past few days.  Some of us... feel hurt... and confused that he seemed to turn his back on us.  But we can't let the events of the last week take away the memories of how much Chef made us smile.  I'm gonna remember Chef as the jolly old guy who always broke into song.  I'm gonna remember Chef... as the guy who gave us advice to live by.  So you see, we shouldn't be mad at Chef for leaving us. We should be mad at that little fruity club for scrambling his brains.",1
"And in the end, I know that somewhere out there... there's the good part of Chef... that's still alive in us all.",1
"Dad, can we go home? All you ever do since you got this car is drive around and show it off!",1
"Dad, I think Ike is starving to death.",1
What?!,1
"Dad, can we go home, please?",1
"But Dad, I want-",1
Oh hey Kyle.,0
"Aw, hey dude. What are you doing here?",1
Helping my Dad pick out some cool new power tools. What are you doing?,0
Helping my Dad give people fake tickets.,1
"Dad, let's just go!",1
"Dad.  Dad, Ike and I have been talking, and well, we feel that your new car is changing you.",1
We're thinking that a lot of people in town starting too...,1
...a-are starting to take offense at your actions. We feel like you're starting to become-hmm...,1
...star-starting to become alienated from some of your friends.,1
You do??,1
"Righ!  Okay, good.",1
What??,1
Yeah?,0
Going away party? What do you mean?,0
Moving away?? Kyle can't move away!,0
Where's the going-away party?,0
Hey everybody! There's more pop in the refrigerator. Let's make this the best going-away party EVER!,2
Who?,2
Kyle? Why would I invite Kyle?,2
Kyle? Kyle!,0
What?!,0
"You guys, this is our party. That no-good back-stabbing Jew rat is finally leaving! Come on, everyone! Let's sing! 'Nanana na! Nanana na! Hey hey hey! Goodbye Kyle!",2
Kyle! Du-what is going on?!,0
My Dad says he can't live here anymore.,1
"Mr. Broflovski, please. Kyle's my best friend.",0
Well... Maybe they'll change.,0
Nooo!,0
I will. I will get everyone to drive hybrid cars! I swear it!,0
"Come on, people. Come on, people now.",0
"Dude, what are you doing?",2
"I'm writing a song about the importance of hybrid cars, so maybe people will change their ways.",0
"THAT's gay, heh.",2
"Well if I have any chance of getting Kyle back, I have to get people to stop driving SUVs!",0
Why do you want Kyle back?? Don't you see how awesome it is without him?,2
"You know, Cartman, you may be stoked now, but I bet you're gonna find that withuot Kyle around to rip on, your life is empty, and hollow.",0
"Psh! Whatever dude. I don't need Kyle to rip on, I've got Butters. Come on, Butters, you stupid Jew!",2
"Come on, people. Come on, people now.",0
"Come on now, people now people now'
People now, come on now, people now
Got to drive hybrids, people now
People now, people now, people now
Hybrids are for people now, people now
Group of people driving people now
Get a hybrid, be good people now.",0
"We have all got to be people now
People-driving-hybrid people now
People now, people now, hybrid now
Hybrid-people-driving people now.
Come on, people, let's be people now
Hybrid-people-driving people now
Come on, everybody be people now",0
"Come on, everybody be people now",0
"Ah, thanks. I was really just trying to make it so my friend can move back here so... if you don't mind, I'm gonna try to get a hold of him now.",0
Yeah.,0
Ow!,0
Smog? There's never been smog over South Park before.,0
Smug?,0
So... what do you do for fun?,1
"Oh, no thanks. We don't do that stuff.",1
